,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,0.83,,,
,Profunditat de penetròmetre,Colpeig DPSH,Colpeig NB,MOSTRA,N.F.,Nivells
,0,0,0,,,
,-0.2,0,0,,,
,-0.4,22,26.506024096385545,,,
,-0.6,33,39.75903614457832,,,
,-0.8,30,36.144578313253014,,,
,-1,25,30.120481927710845,,,
,-1.2,22,26.506024096385545,,,
,-1.4,24,28.91566265060241,,,
,-1.6,20,24.096385542168676,,,
,-1.8,34,40.96385542168675,,,
,-2,35,42.16867469879518,,,
,-2.2,60,72.28915662650603,,,
,-2.4,64,77.10843373493977,,,
,-2.6,47,56.626506024096386,,,
,-2.8,27,32.53012048192771,,,
,-3,26,31.32530120481928,,,
,-3.2,32,38.55421686746988,,,
,-3.4,36,43.373493975903614,,,
,-3.6,37,44.57831325301205,,,
,-3.8,28,33.734939759036145,,,
,-4,30,36.144578313253014,,,
,-4.2,52,62.65060240963856,,,
,-4.4,66,79.51807228915663,,,
,-4.6,100,120.48192771084338,,,
,-4.8,,,,,
,-5,,,,,
,-5.2,,,,,
,-5.4,,,,,
,-5.6,,,,,
,-5.8,,,,,
,-6,,,,,
,-6.2,,,,,
,-6.4,,,,,
,-6.6,,,,,
,-6.8,,,,,
,-7,,,,,
,-7.2,,,,,
,-7.4,,,,,
,-7.6,,,,,
,-7.8,,,,,
,-8,,,,,
,-8.2,,,,,
,-8.4,,,,,
,-8.6,,,,,
,-8.8,,,,,
,-9,,,,,
,-9.2,,,,,
,-9.4,,,,,
,-9.6,,,,,
,-9.8,,,,,
,-10,,,,,
,-10.2,,,,,
,-10.4,,,,,
,-10.6,,,,,
,-10.8,,,,,
,-11,,,,,
,-11.2,,,,,
,-11.4,,,,,
,-11.6,,,,,
,-11.8,,,,,
,-12,,,,,
,,,,,,
,,Nivell 1,,,,
,"Rebuig  a -4,55  m",,,,,
