,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,0.83,,,
,Profundidad de penetrómetro,Golpeo DPSH,Golpeo NB,MEDIDA DE PAR,N.F.,Niveles
,0,0,0,,,
,-0.2,0,0,,,
,-0.4,4,4.819277108433735,,,
,-0.6,4,4.819277108433735,,,
,-0.8,5,6.024096385542169,,,
,-1,5,6.024096385542169,,,
,-1.2,3,3.6144578313253013,,,
,-1.4,5,6.024096385542169,,,
,-1.6,2,2.4096385542168677,,,
,-1.8,8,9.63855421686747,,,
,-2,3,3.6144578313253013,,,
,-2.2,6,7.228915662650603,,,
,-2.4,6,7.228915662650603,,,
,-2.6,13,15.66265060240964,,,
,-2.8,22,26.506024096385545,,,
,-3,4,4.819277108433735,,,
,-3.2,3,3.6144578313253013,,,
,-3.4,22,26.506024096385545,,,
,-3.6,37,44.57831325301205,,,
,-3.8,32,38.55421686746988,,,
,-4,44,53.01204819277109,,,
,-4.2,41,49.397590361445786,,,
,-4.4,42,50.60240963855422,,,
,-4.6,100,120.48192771084338,,,
,-4.8,,,,,
,-5,,,,,
,-5.2,,,,,
,-5.4,,,,,
,-5.6,,,,,
,-5.8,,,,,
,-6,,,,,
,-6.2,,,,,
,-6.4,,,,,
,-6.6,,,,,
,-6.8,,,,,
,-7,,,,,
,-7.2,,,,,
,-7.4,,,,,
,-7.6,,,,,
,-7.8,,,,,
,-8,,,,,
,-8.2,,,,,
,-8.4,,,,,
,-8.6,,,,,
,-8.8,,,,,
,-9,,,,,
,-9.2,,,,,
,-9.4,,,,,
,-9.6,,,,,
,-9.8,,,,,
,-10,,,,,
,-10.2,,,,,
,-10.4,,,,,
,-10.6,,,,,
,-10.8,,,,,
,-11,,,,,
,-11.2,,,,,
,-11.4,,,,,
,-11.6,,,,,
,-11.8,,,,,
,-12,,,,,
,,,,,,
,,Nivel 1,,,Nivel 2,
,"Rechazo a la penetración: -4,59 m",,,,,
