,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,0.83,,,
,Profundidad de penetrómetro,Golpeo DPSH,Golpeo NB,MEDIDA DE PAR,N.F.,Niveles
,0,0,0,,,
,-0.2,0,0,,,
,-0.4,4,4.819277108433735,,,
,-0.6,7,8.433734939759036,,,
,-0.8,8,9.63855421686747,,,
,-1,12,14.457831325301205,,,
,-1.2,10,12.048192771084338,,,
,-1.4,12,14.457831325301205,,,
,-1.6,13,15.66265060240964,,,
,-1.8,30,36.144578313253014,,,
,-2,46,55.42168674698795,,,
,-2.2,100,120.48192771084338,,,
,-2.4,,,,,
,-2.6,,,,,
,-2.8,,,,,
,-3,,,,,
,-3.2,,,,,
,-3.4,,,,,
,-3.6,,,,,
,-3.8,,,,,
,-4,,,,,
,-4.2,,,,,
,-4.4,,,,,
,-4.6,,,,,
,-4.8,,,,,
,-5,,,,,
,-5.2,,,,,
,-5.4,,,,,
,-5.6,,,,,
,-5.8,,,,,
,-6,,,,,
,-6.2,,,,,
,-6.4,,,,,
,-6.6,,,,,
,-6.8,,,,,
,-7,,,,,
,-7.2,,,,,
,-7.4,,,,,
,-7.6,,,,,
,-7.8,,,,,
,-8,,,,,
,-8.2,,,,,
,-8.4,,,,,
,-8.6,,,,,
,-8.8,,,,,
,-9,,,,,
,-9.2,,,,,
,-9.4,,,,,
,-9.6,,,,,
,-9.8,,,,,
,-10,,,,,
,-10.2,,,,,
,-10.4,,,,,
,-10.6,,,,,
,-10.8,,,,,
,-11,,,,,
,-11.2,,,,,
,-11.4,,,,,
,-11.6,,,,,
,-11.8,,,,,
,-12,,,,,
,,,,,,
,,Nivel 1,,,Nivel 2,
,"Rechazo a la penetración: -2,18 m",,,,,
