,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,0.83,,,
,Profunditat de penetròmetre,Colpeig DPSH,Colpeig NB,MESURA DE PAR,N.F.,Nivells
,0,0,0,,,
,-0.2,5,6.024096385542169,,,
,-0.4,5,6.024096385542169,,,
,-0.6,2,2.4096385542168677,,,
,-0.8,4,4.819277108433735,,,
,-1,9,10.843373493975903,SPT-1,,
,-1.2,14,16.867469879518072,"0,80 a 1,40",,
,-1.4,13,15.66265060240964,5/9/11/33,,
,-1.6,84,101.20481927710844,,,
,-1.8,100,120.48192771084338,,,
,-2,,,,,
,-2.2,,,,,
,-2.4,,,,,
,-2.6,,,,,
,-2.8,,,,,
,-3,,,,,
,-3.2,,,,,
,-3.4,,,,,
,-3.6,,,,,
,-3.8,,,,,
,-4,,,,,
,-4.2,,,,,
,-4.4,,,,,
,-4.6,,,,,
,-4.8,,,,,
,-5,,,,,
,-5.2,,,,,
,-5.4,,,,,
,-5.6,,,,,
,-5.8,,,,,
,-6,,,,,
,-6.2,,,,,
,-6.4,,,,,
,-6.6,,,,,
,-6.8,,,,,
,-7,,,,,
,-7.2,,,,,
,-7.4,,,,,
,-7.6,,,,,
,-7.8,,,,,
,-8,,,,,
,-8.2,,,,,
,-8.4,,,,,
,-8.6,,,,,
,-8.8,,,,,
,-9,,,,,
,-9.2,,,,,
,-9.4,,,,,
,-9.6,,,,,
,-9.8,,,,,
,-10,,,,,
,-10.2,,,,,
,-10.4,,,,,
,-10.6,,,,,
,-10.8,,,,,
,-11,,,,,
,-11.2,,,,,
,-11.4,,,,,
,-11.6,,,,,
,-11.8,,,,,
,-12,,,,,
,,,,,,
,,Nivell 1,,,Nivell 2,
,,,,,Humitat,
,"Rebuig a la cota de  -1,69 m",,,,,
