,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,0.83,,,
,Profunditat de penetròmetre,Colpeig DPSH,Colpeig NB,MESURA DE PAR,N.F.,Nivells
,0,0,0,,,
,-0.2,0,0,,,
,-0.4,20,24.096385542168676,,,
,-0.6,27,32.53012048192771,,,
,-0.8,16,19.27710843373494,,,
,-1,19,22.89156626506024,,,
,-1.2,32,38.55421686746988,,,
,-1.4,100,120.48192771084338,,,
,-1.6,,,,,
,-1.8,,,,,
,-2,,,,,
,-2.2,,,,,
,-2.4,,,,,
,-2.6,,,,,
,-2.8,,,,,
,-3,,,,,
,-3.2,,,,,
,-3.4,,,,,
,-3.6,,,,,
,-3.8,,,,,
,-4,,,,,
,-4.2,,,,,
,-4.4,,,,,
,-4.6,,,,,
,-4.8,,,,,
,-5,,,,,
,-5.2,,,,,
,-5.4,,,,,
,-5.6,,,,,
,-5.8,,,,,
,-6,,,,,
,-6.2,,,,,
,-6.4,,,,,
,-6.6,,,,,
,-6.8,,,,,
,-7,,,,,
,-7.2,,,,,
,-7.4,,,,,
,-7.6,,,,,
,-7.8,,,,,
,-8,,,,,
,-8.2,,,,,
,-8.4,,,,,
,-8.6,,,,,
,-8.8,,,,,
,-9,,,,,
,-9.2,,,,,
,-9.4,,,,,
,-9.6,,,,,
,-9.8,,,,,
,-10,,,,,
,-10.2,,,,,
,-10.4,,,,,
,-10.6,,,,,
,-10.8,,,,,
,-11,,,,,
,-11.2,,,,,
,-11.4,,,,,
,-11.6,,,,,
,-11.8,,,,,
,-12,,,,,
,,,,,,
,,Nivell 1,,,,
,"Rebuig a la cota de  -1,35 m",,,,,
