,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,0.83,,,
,Profunditat de penetròmetre,Colpeig DPSH,Colpeig NB,MOSTRA,N.F.,Nivells
,0,0,0,,,
,-0.2,0,0,,,
,-0.4,15,18.072289156626507,,,
,-0.6,100,120.48192771084338,,,
,-0.8,,,,,
,-1,,,,,
,-1.2,,,,,
,-1.4,,,,,
,-1.6,,,,,
,-1.8,,,,,
,-2,,,,,
,-2.2,,,,,
,-2.4,,,,,
,-2.6,,,,,
,-2.8,,,,,
,-3,,,,,
,-3.2,,,,,
,-3.4,,,,,
,-3.6,,,,,
,-3.8,,,,,
,-4,,,,,
,-4.2,,,,,
,-4.4,,,,,
,-4.6,,,,,
,-4.8,,,,,
,-5,,,,,
,-5.2,,,,,
,-5.4,,,,,
,-5.6,,,,,
,-5.8,,,,,
,-6,,,,,
,-6.2,,,,,
,-6.4,,,,,
,-6.6,,,,,
,-6.8,,,,,
,-7,,,,,
,-7.2,,,,,
,-7.4,,,,,
,-7.6,,,,,
,-7.8,,,,,
,-8,,,,,
,-8.2,,,,,
,-8.4,,,,,
,-8.6,,,,,
,-8.8,,,,,
,-9,,,,,
,-9.2,,,,,
,-9.4,,,,,
,-9.6,,,,,
,-9.8,,,,,
,-10,,,,,
,-10.2,,,,,
,-10.4,,,,,
,-10.6,,,,,
,-10.8,,,,,
,-11,,,,,
,-11.2,,,,,
,-11.4,,,,,
,-11.6,,,,,
,-11.8,,,,,
,-12,,,,,
,,,,,,
,,Nivell 1,,,,
,"Rebuig  a -0,48 m",,,,,
